Database Layer,Table / Collection Name,Field / Column Name,Data Type,Key Role,Foreign Key Reference,Firestore Equivalent Collection,Parity Match Status
SQLite,time_entries,entry_id,TEXT,Primary Key,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,job_id,TEXT,Foreign Key,dispatches(job_id),N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,tech_email,TEXT,Foreign Key,users(user_email),N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,entry_type,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,start_timestamp,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,end_timestamp,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,time_entries,duration_hours,REAL,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,asset_inspections,report_id,TEXT,Primary Key,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,asset_inspections,job_id,TEXT,Foreign Key,dispatches(job_id),N/A (Local Only),Local SQLite Table Only
SQLite,asset_inspections,asset_id,TEXT,Foreign Key,assets(asset_id),N/A (Local Only),Local SQLite Table Only
SQLite,asset_inspections,registration_status,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,asset_inspections,inspection_metrics,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,usage_id,TEXT,Primary Key,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,job_id,TEXT,Foreign Key,dispatches(job_id),N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,sku,TEXT,Foreign Key,parts_master(sku),N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,qty_used,REAL,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,is_unlisted,INTEGER,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,unlisted_description,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,manual_cost,REAL,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,job_parts_used,cost_status,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,log_id,TEXT,Primary Key,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,user_email,TEXT,Foreign Key,users(user_email),N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,entity_type,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,entity_id,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,timestamp,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,old_value,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
SQLite,audit_log,new_value,TEXT,Standard Column,N/A,N/A (Local Only),Local SQLite Table Only
