App / File Path,Line Number,Control Type,Button Label / Text,Callback Status,Completed [ ]
src\frontend\calendar_component.py,258,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,274,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,288,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,325,ElevatedButton,Month View,OK,
src\frontend\calendar_component.py,326,OutlinedButton,Agenda View,OK,
src\frontend\calendar_component.py,327,OutlinedButton,Technician View,OK,
src\frontend\calendar_component.py,331,IconButton,<N/A or Dynamic>,OK,
src\frontend\calendar_component.py,333,IconButton,<N/A or Dynamic>,OK,
src\frontend\calendar_component.py,338,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,107,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,115,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,167,Card,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,168,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,191,OutlinedButton,Drive,OK,
src\frontend\cards_component.py,197,OutlinedButton,Edit,OK,
src\frontend\cards_component.py,206,ElevatedButton,+ Service Request,OK,
src\frontend\cards_component.py,218,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,226,Card,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,227,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,255,ElevatedButton,+ Service Request,OK,
src\frontend\cards_component.py,261,IconButton,Open Drive Folder,OK,
src\frontend\cards_component.py,267,IconButton,Edit Project Details,OK,
src\frontend\cards_component.py,326,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,386,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,390,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,398,OutlinedButton,📂 Drive Folder,OK,
src\frontend\cards_component.py,405,OutlinedButton,✏️ Full Details,OK,
src\frontend\cards_component.py,418,ElevatedButton,⚡ Assign & Dispatch,OK,
src\frontend\cards_component.py,435,OutlinedButton,📂 Drive Folder,OK,
src\frontend\cards_component.py,441,ElevatedButton,✏️ Edit Ticket,OK,
src\frontend\cards_component.py,457,OutlinedButton,📂 Drive,OK,
src\frontend\cards_component.py,463,ElevatedButton,Open Briefing ➔,OK,
src\frontend\cards_component.py,479,ElevatedButton,Review Registration Data ➔,OK,
src\frontend\cards_component.py,493,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,533,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,544,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\cards_component.py,578,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,589,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,27,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,32,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,44,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,61,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,76,IconButton,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,78,IconButton,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,92,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,96,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,108,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,127,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,136,ElevatedButton,ENTER,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,142,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,154,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,155,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,156,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,162,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,163,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,62,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,70,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,124,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,174,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,211,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,220,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,245,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,255,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,263,OutlinedButton,Open File 🔗,OK,
src\frontend\details_component.py,376,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,383,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,390,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,397,ElevatedButton,Save Asset to Site,OK,
src\frontend\details_component.py,402,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,409,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,418,TextButton,Close,OK,
src\frontend\details_component.py,419,ElevatedButton,Save Project Edits,OK,
src\frontend\details_component.py,440,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,683,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\details_component.py,700,IconButton,Pick Date,OK,
src\frontend\details_component.py,717,IconButton,Pick Scheduled Date,OK,
src\frontend\details_component.py,731,TextButton,Cancel,OK,
src\frontend\details_component.py,732,ElevatedButton,Save Ticket Details,OK,
src\frontend\form_sandbox.py,124,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\form_sandbox.py,127,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\form_sandbox.py,152,ElevatedButton,Submit Field Report,OK,
src\frontend\form_sandbox.py,158,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\form_sandbox.py,168,Container,<N/A or Dynamic>,OK,
src\frontend\form_sandbox.py,169,Container,<N/A or Dynamic>,OK,
src\frontend\forms_component.py,46,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,226,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,239,ElevatedButton,Upload Project Photo,OK,
src\frontend\forms_component.py,243,ElevatedButton,Upload Project Docs,OK,
src\frontend\forms_component.py,249,ElevatedButton,Create Project,OK,
src\frontend\forms_component.py,284,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,299,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,304,ElevatedButton,➕ Register & Save Asset,OK,
src\frontend\forms_component.py,326,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,336,ElevatedButton,Proceed to Briefing ➔,OK,
src\frontend\forms_component.py,440,TextButton,<- Back to Briefing,OK,
src\frontend\forms_component.py,447,IconButton,<N/A or Dynamic>,OK,
src\frontend\forms_component.py,513,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,519,ElevatedButton,Save Catalog Part,OK,
src\frontend\forms_component.py,586,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,592,ElevatedButton,Save Manufacturer,OK,
src\frontend\forms_component.py,646,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,651,ElevatedButton,Register Vehicle,OK,
src\frontend\forms_component.py,673,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,811,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\forms_component.py,822,ElevatedButton,Submit Service Request,OK,
src\frontend\main.py,20,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\main.py,30,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\main.py,45,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\main.py,54,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\main.py,82,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,108,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,175,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,212,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,217,ElevatedButton,Save Changes,OK,
src\frontend\mobile_suite.py,232,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,241,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,245,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,267,OutlinedButton,Edit Details ✏️,OK,
src\frontend\mobile_suite.py,272,ElevatedButton,Service Asset ⚙️,OK,
src\frontend\mobile_suite.py,288,TextButton,<- Back to Dispatch Briefing,OK,
src\frontend\mobile_suite.py,379,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,396,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,401,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,409,ElevatedButton,Close,OK,
src\frontend\mobile_suite.py,422,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,436,OutlinedButton,Nav Map,OK,
src\frontend\mobile_suite.py,437,OutlinedButton,Drive Folder,OK,
src\frontend\mobile_suite.py,438,ElevatedButton,➕ Add / Search Asset Tool,OK,
src\frontend\mobile_suite.py,464,TextButton,<- Back to Assigned Feed,OK,
src\frontend\mobile_suite.py,493,FloatingActionButton,Refresh Assigned Feed,OK,
src\frontend\mobile_suite.py,566,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\mobile_suite.py,592,IconButton,Refresh Feed,OK,
src\frontend\project_scheduler.py,114,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\project_scheduler.py,123,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\project_scheduler.py,128,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\project_scheduler.py,147,ElevatedButton,Confirm & Dispatch Appointment,OK,
src\frontend\searchable_input_component.py,46,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\searchable_input_component.py,82,Container,<N/A or Dynamic>,OK,
src\frontend\searchable_input_component.py,100,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\shared_utils.py,22,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,192,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,206,ElevatedButton,Copy 📋,OK,
src\frontend\sidecar_portal.py,262,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,361,ElevatedButton,Launch Yaskawa Portal 🔗,OK,
src\frontend\sidecar_portal.py,368,ElevatedButton,Move REGISTRATION Doc Here 📄,OK,
src\frontend\sidecar_portal.py,379,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,388,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,399,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,437,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,445,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,474,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,487,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\sidecar_portal.py,493,IconButton,Refresh Pending Queue,OK,
src\frontend\technician_clock_component.py,193,ElevatedButton,<N/A or Dynamic>,OK,
src\frontend\vfd_form_component.py,39,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\vfd_form_component.py,125,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\vfd_form_component.py,251,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\vfd_form_component.py,278,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\vfd_form_component.py,286,OutlinedButton,⬅️ Previous,MISSING CALLBACK,
src\frontend\vfd_form_component.py,287,ElevatedButton,Next ➡️,MISSING CALLBACK,
src\frontend\vfd_form_component.py,289,ElevatedButton,Upload Service Report 🚀,MISSING CALLBACK,
src\frontend\vfd_form_component.py,297,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\vfd_form_component.py,440,TextButton,<- Back to Asset Info,OK,
